    #theta              beta_x             alpha_x              beta_y             alpha_y
     25.36875000        0.9205215677        0.5194625101         4.143308254       -0.1219158934
     25.48750000        0.9110407731        0.5033196155         4.145416077       -0.1054689222
     25.60625000        0.9018644998        0.4875085201         4.147230308       -0.9042207025E-01
     25.72500000        0.8929857272        0.4720204888         4.148777467       -0.7677575125E-01
     25.84375000        0.8843971822        0.4568994016         4.150086271       -0.6477924756E-01
     25.96250000        0.8760914220        0.4421273595         4.151187310       -0.5439670524E-01
     26.08125000        0.8680616221        0.4276625431         4.152109254       -0.4546693914E-01
     26.20000000        0.8603020290        0.4134376804         4.152876449       -0.3769204539E-01
     26.31875000        0.8528073939        0.3994714623         4.153511422       -0.3117972586E-01
     26.43750000        0.8455724347        0.3857545799         4.154037430       -0.2590858448E-01
     26.55625000        0.8385932939        0.3721475051         4.154471219       -0.2119842846E-01
     26.67500000        0.8318674028        0.3586544119         4.154823387       -0.1706609600E-01
     26.79375000        0.8253918000        0.3453178947         4.155106711       -0.1373425158E-01
     26.91250000        0.8191641660        0.3320297226         4.155331001       -0.1066034646E-01
     27.03125000        0.8131830901        0.3188027650         4.155501564       -0.7899465938E-02
     27.15000000        0.8074467439        0.3056728140         4.155625913       -0.5637442228E-02
     27.26875000        0.8019535893        0.2925755373         4.155710252       -0.3547637817E-02
     27.38750000        0.7967025616        0.2795263288         4.155758426       -0.1700933031E-02
     27.50625000        0.7916922750        0.2665474478         4.155775998       -0.2143161631E-03
     27.62500000        0.7869211342        0.2536417368         4.155769791        0.8910549755E-03
     27.74375000        0.7823880822        0.2407500306         4.155743934        0.1929073365E-02
     27.86250000        0.7780924099        0.2278955199         4.155700773        0.2779580581E-02
     27.98125000        0.7740330806        0.2150926158         4.155644496        0.3361804547E-02
     28.10000000        0.7702092783        0.2023046915         4.155578236        0.3871031472E-02
     28.21875000        0.7666204055        0.1895461768         4.155504020        0.4232164979E-02
     28.33750000        0.7632656917        0.1768231869         4.155424891        0.4409569012E-02
     28.45625000        0.7601443295        0.1641351284         4.155344213        0.4403164730E-02
     28.57500000        0.7572558541        0.1514466984         4.155263566        0.4407865039E-02
     28.69375000        0.7545999222        0.1387813079         4.155183928        0.4294653054E-02
     28.81250000        0.7521759952        0.1261382123         4.155107440        0.4064917215E-02
     28.93125000        0.7499837153        0.1134997428         4.155035339        0.3816465548E-02
     29.05000000        0.7480228248        0.1008738702         4.154968365        0.3505426099E-02
     29.16875000        0.7462929928        0.8826185543E-01     4.154907744        0.3122686196E-02
     29.28750000        0.7447939787        0.7565381226E-01     4.154854292        0.2722262862E-02
     29.40625000        0.7435256094        0.6305336602E-01     4.154808506        0.2284796559E-02
     29.52500000        0.7424876909        0.5046039649E-01     4.154771071        0.1809301226E-02
     29.64375000        0.7416800435        0.3787455909E-01     4.154742680        0.1295950811E-02
     29.76250000        0.7411025697        0.2528836339E-01     4.154723631        0.7875348750E-03
     29.88125000        0.7407552243        0.1270470022E-01     4.154713992        0.2668194172E-03
     30.00000000        0.7406379483        0.1232742762E-03     4.154713988       -0.2664034338E-03
     30.11875000        0.7407507163       -0.1245815147E-01     4.154723734       -0.7996139914E-03
     30.23750000        0.7410935536       -0.2504181111E-01     4.154743115       -0.1320308992E-02
     30.35625000        0.7416665190       -0.3762799986E-01     4.154771905       -0.1828696306E-02
     30.47500000        0.7424696576       -0.5021383002E-01     4.154810038       -0.2341992938E-02
     30.59375000        0.7435030669       -0.6280678877E-01     4.154857213       -0.2817425962E-02
     30.71250000        0.7447669262       -0.7540722052E-01     4.154912740       -0.3254821467E-02
     30.83125000        0.7462614297       -0.8801524567E-01     4.154975932       -0.3655163771E-02
     30.95000000        0.7479867500       -0.1006272417         4.155046292       -0.4037797179E-02
     31.06875000        0.7499431278       -0.1132530913         4.155123004       -0.4348721078E-02
     31.18750000        0.7521308938       -0.1258915336         4.155204843       -0.4597045852E-02
     31.30625000        0.7545503055       -0.1385346012         4.155291066       -0.4826628213E-02
     31.42500000        0.7572017206       -0.1511999581         4.155380440       -0.4939676631E-02
     31.54375000        0.7600856774       -0.1638883485         4.155470820       -0.4934801748E-02
     31.66250000        0.7632025193       -0.1765763694         4.155561230       -0.4940990648E-02
     31.78125000        0.7665527108       -0.1892993135         4.155650089       -0.4763362042E-02
     31.90000000        0.7701370589       -0.2020577750         4.155734033       -0.4401985983E-02
     32.01875000        0.7739563342       -0.2148456411         4.155810019       -0.3892487442E-02
     32.13750000        0.7780111339       -0.2276484875         4.155876019       -0.3309942954E-02
     32.25625000        0.7823022738       -0.2405029330         4.155928899       -0.2459076785E-02
     32.37500000        0.7868307904       -0.2533945716         4.155964472       -0.1420642624E-02
     32.49375000        0.7915973928       -0.2663002201         4.155980389       -0.3147780842E-03
     32.61250000        0.7966031379       -0.2792790325         4.155972520        0.1172406990E-02
     32.73125000        0.8018496206       -0.2923281675         4.155934042        0.3019762384E-02
     32.85000000        0.8073382267       -0.3054253725         4.155859391        0.5110318660E-02
     32.96875000        0.8130700207       -0.3185552591         4.155744718        0.7373209505E-02
     33.08750000        0.8190465406       -0.3317821403         4.155583819        0.1013504227E-01
     33.20625000        0.8252696146       -0.3450702305         4.155369180        0.1320998659E-01
     33.32500000        0.8317406531       -0.3584066602         4.155095491        0.1654294467E-01
     33.44375000        0.8384619749       -0.3718996274         4.154752942        0.2067642514E-01
     33.56250000        0.8454365406       -0.3855065393         4.154328757        0.2538773648E-01
     33.68125000        0.8526669181       -0.3992232247         4.153812336        0.3066005848E-01
     33.80000000        0.8601569637       -0.4131891798         4.153186936        0.3717360360E-01
     33.91875000        0.8679119582       -0.4274137162         4.152429295        0.4494981062E-01
     34.03750000        0.8759371491       -0.4418781642         4.151516887        0.5388107467E-01
     34.15625000        0.8842382889       -0.4566497852         4.150425361        0.6426534609E-01
     34.27500000        0.8928222007       -0.4717703892         4.149126043        0.7626383452E-01
     34.39375000        0.9016963256       -0.4872578505         4.147588341        0.8991231960E-01
     34.51250000        0.9108679351       -0.5030683003         4.145783533        0.1049615342
     34.63125000        0.9203440478       -0.5192104678         4.143685097        0.1214110641
     34.75000000        0.9301333788       -0.5358510515         4.141260129        0.1399365693
     34.83575000        0.9374021845       -0.5481032417         4.139287499        0.1542255582
     34.92150000        0.9448421054       -0.5605359472         4.137117170        0.1691746721
     35.00725000        0.9524562449       -0.5731830293         4.134739107        0.1849045382
     35.09300000        0.9602479461       -0.5860429815         4.132142683        0.2013767620
     35.17875000        0.9682205703       -0.5991167621         4.129317680        0.2185623898
     35.26450000        0.9763774481       -0.6123955457         4.126254513        0.2363901771
     35.35025000        0.9847217404       -0.6258596807         4.122944810        0.2547448838
     35.43600000        0.9932558163       -0.6394078947         4.119383977        0.2731759162
     35.52175000         1.001981962       -0.6531268296         4.115568149        0.2920208008
     35.60750000         1.010903021       -0.6670088329         4.111491548        0.3112207441
     35.69325000         1.020021781       -0.6810506014         4.107149028        0.3307359906
     35.77900000         1.029341027       -0.6952509775         4.102535882        0.3505361926
     35.86475000         1.038863557       -0.7096105478         4.097647728        0.3705985767
     35.95050000         1.048592553       -0.7241815743         4.092479095        0.3911016074
     36.03625000         1.058530863       -0.7388589206         4.087026255        0.4116046787
     36.12200000         1.068680682       -0.7536489914         4.081288368        0.4321194112
     36.20775000         1.079044505       -0.7685854284         4.075263723        0.4527577887
     36.29350000         1.089625914       -0.7837914401         4.068946857        0.4739548420
     36.37925000         1.100428487       -0.7991389709         4.062332784        0.4952000482
     36.46500000         1.111455590       -0.8147213026         4.055417762        0.5168161157
     36.55075000         1.122711986       -0.8306458473         4.048193390        0.5391563899
     36.63650000         1.134202278       -0.8467768463         4.040652461        0.5616859683
     36.72225000         1.145930151       -0.8631126346         4.032791600        0.5843746985
     36.80800000         1.157900724       -0.8798600457         4.024602887        0.6079087665
     36.89375000         1.170120758       -0.8970470872         4.016073406        0.6323223051
     36.97950000         1.182595879       -0.9144751737         4.007194984        0.6568835618
     37.06525000         1.195332456       -0.9324477364         3.997957652        0.6825756095
     37.15100000         1.208339492       -0.9510373867         3.988343514        0.7095562246
     37.23675000         1.221624862       -0.9700031108         3.978339587        0.7369464231
     37.32250000         1.235196258       -0.9895580876         3.967934593        0.7653697529
     37.40825000         1.249064081        -1.009876490         3.957109676        0.7952884157
     37.49400000         1.263240815        -1.031080974         3.945840835        0.8269709387
     37.57975000         1.277741460        -1.053407688         3.934097986        0.8610099552
     37.66550000         1.292583887        -1.077029013         3.921844343        0.8977608052
     37.75125000         1.307786763        -1.101882808         3.909043155        0.9368464085
     37.83700000         1.323364288        -1.127388538         3.895673437        0.9763744871
